,sentiment,text
244,0,cant believe got sent naughty step first time eva omg
245,0,omg thats horrible kinda worrying bout today skool oh poor guy
246,0,curry good cider bad head hurt
247,0,reading minute minute update like death thousand paper cut nazi ballot paper
248,0,sick dog london sort throat infection eat talk trying force drink hot fluid
249,0,till even feeling still smell garlic
250,0,kevin
251,1,awake two hour would like go back sleep
252,1,alright gonna busier legless fat kid trying catch donut rolling hill hope great day
253,0,last tweet night maybe power killin sick reggae omg miss bimini
254,0,mood went
255,1,chronic illness blog let know post link www ptsici blogspot com
256,1,amazing seen yet
257,1,new favorite show sure embarassed admit yet love monday night home
258,0,actually worst sleep hot airconditioning liked quote
259,0,work sunday
260,0,back lesson drag yawnn havent arrive getting impatient chewy jnr calling nvr buy p
261,0,know awake right half sleep officially going sleep wake
262,0,way make jealous bug game
263,1,nee
264,1,hope
265,0,special get
266,1,found new chord bang tune wooooo
267,1,back ground enjoying baltimore
268,0,u tell guy im comin
269,1,clareeeeeeee
270,0,rain rain go away please lm feeling need hot holiday hot guy kid xx
271,0,wow huge snot rocket sorry twitpic
272,0,glad find bathing suit
273,1,leave go back chicago back moved th miss much
274,1,going probably see around
275,0,im tierd dont know even wake early zzz
276,0,wish talented enough spoken word
277,1,meant weather fool project zoe steph fun anyways
278,0,wearing good look sorry
279,0,waste time meeting
280,0,pub half four bloody hour away
281,1,world would blow
282,1,ready give hyphen quot e mail quot guess mean contradicting drop someday sure
283,0,saw yesterday old uni make good gig
284,0,feel like krispy kreme open branch perth
285,0,still awake wish could sleep sick fever mo cheer dance competition weekend wish better love
286,1,chatting english teacher icq cool
287,0,http twitpic com tpc tickling wolf tummy sooooo jealous one
288,1,enjoying weekend far
289,1,good morning
290,0,long day tomorrow
291,0,crap sent email forgot mention also ghost hunter
292,1,one mommy intervene
293,1,medium shout crash start third song fun time pc still use fixing soon
294,0,cold morning chill
295,0,tarryn smith ndaba rip
296,1,look would think diet http yfrog com dmucj
297,0,believe lakers lost last night please pray corey laugh serious
298,0,dm suck read sent read em
299,0,hun got back town
300,1,senior pic esli meg
301,0,sorry guy sign sorry every
302,0,bad homie dm u back
303,1,bet u get lottt quot fierce quot reply everyday lol
304,0,still wondering ting ting amp queen album got
305,0,grumpy going bed
306,0,never commute rain people get much meaner
307,0,aldi hawaii place mainland think
308,1,haha lucky guess
309,0,cool ill answer later tonite gotta go oaka
310,1,nice thank sharing track pretty http blip fm kpp
311,0,man wish could go
312,0,yes really think anything else
313,0,want many thing trip cali clean room win heap money general manager back work
314,1,shout devil
315,1,heeey morning run today
316,0,say access myspace account http plurk com p qok
317,1,thanks neil gaiman reference big fan sandman following well
318,0,exact car rental recently absolutely terrible car
319,0,dont want leave
320,1,graduation class
321,1,obsession weather something english someone european first
322,0,know read bt sit outside coz gota answer phone
323,0,twitter friend send little message wish coming summer solstice saturday
324,1,glad someone slept last night doggy would take picture see laptop
325,1,hit know everything know
326,0,sadly think know exactly put expired drawer thing life span le two year
327,1,haha u like miley loved hillary duff aswell
328,0,please pray jose roberto hospital really need
329,1,remember quot flesh eating virus quot lol hindsight back day funny
330,1,everybody follow best
331,1,bed time
332,1,high insomnia
333,1,sorry long time reply happy read mr q tweet looking forward watch qmb
334,0,oo sound soo good would work margarita
335,1,nah ily ze bk like rofl people school today swine flu pfft bubbbbbb
336,1,bleurgh
337,1,already practicing harmony beatle rockband september cannot come soon enough
338,1,looking forward going lovely hubby tonight
339,1,glad money finally refunded yesterday ordered ea amp let make mess tour ticket damn excited
340,0,twittering follower yet
341,0,worst daughter ever computer rest week phone update though
342,0,still revising math monday twilight competition http bit ly hwbv
343,0,knw fake youtube someone put diff band
344,1,good morning danny
345,0,think might allergic cat
346,0,yuck school im super tired
347,0,srsly thinking cutting monday calendar ugh
348,1,http twitpic com ro crap bought atl plus four bracelet finish
349,1,finally home dope week
350,0,looking forward bed time long night shift
351,0,trying get drunk last time try help fuck getting wasted
352,0,vermouth bianco cleaning yet envious
353,1,chatting papa singing crush david archuleta funny version haha
354,1,lunch niece tessa
355,0,month early wish gonna come dj gig
356,0,deer ate hibiscus completely
357,0,gotta knock laundry
358,0,load hw weekend
359,1,fight anyone ok know big diesel fighting people
360,0,go another day nothing wear work http myloc gk
361,1,im
362,0,lying sofa think hurt back
363,1,course promise
364,0,basic business principle age past captive audience represent profit consumer bring packed lunch accept hit
365,0,closing work fun
366,0,want chill
367,1,earned helping vip event something along line anniversary pope inauguration yay money
368,1,im tennessee tennessee miss much lol im voting right mtv com
369,1,sure grace yo daughter impressed
370,1,fantastic weekend gutted back atr work though hope sunshine keep
371,0,wish u would stayed friday night
372,1,lmfaooooooooo died little image commences uncontrolled quivering
373,0,poor brother hard time pitching wish luck faithh
374,0,heart pounding went pick stick could mow found snake laying yard
375,0,ur television homework
376,1,work lol
377,0,awaken lazy blind shut see today sunny awh
378,1,thanks follow
379,0,world gray depressed
380,1,make happy
381,1,great comic nice work
382,1,well craptastic computer totally froze luckily hit save
383,0,well win hotel package good night see lunch amp event
384,1,okie anh th hum nay nh chi u v em g
385,1,welcome lorraine pleasure
386,0,nothing piss stuck home nothing
387,1,wonder purchase iswipe credit card terminal iphone
388,0,look like tummy bug groan hubby taken upstairs give relax time heart hubby lol
389,1,seen great fun
390,0,raining thundering
391,0,waiting little message kim hyun joong
392,1,malibu one point
393,1,watchin quot framed roger rabbit quot love movie
394,0,like going dentist
395,0,hope everythings ok come vent
396,0,still idea use twitter
397,0,may anymore
398,0,pjc crown keychain gone gone http tweet sg
399,0,sunshine tomorrow school two week
400,1,wish richard
401,0,welcome suck
402,1,nice day
403,1,haha nevermind sport center
404,1,sister life oman load beautiful nice piece railway
405,0,horrible truth flirtin could b fun thx head
406,0,feel like idiot
407,1,lol c u mightve able find lone banana apple
408,1,lol well responding via blackberry phone let know get message
409,1,much little time need clone time
410,0,found electric house day due storm kittez ok lost food
411,1,huge thunderstorm heading tonight seeing tonight meeting old friend oh game sean got fallout well
412,0,good informated haha
413,1,change name tom guidi good name haha
414,0,ahh portland miss hometown
415,0,cry sleep tonight
416,0,want puke stolen blood
417,1,welcome
418,1,wohoo got bunch cpu hotplug interface working step one complete
419,0,pretty moon phone camera capture well low yellow kinda highlighting cloud near slightly
420,1,see someone getting gist twittering good good haha
421,1,good morning hot humid sc send u warm air morning
422,0,feel good throat killing
423,1,free beer suit around everyone hammered
424,1,trafford centre sunday
425,0,done scrub wanna watch last eps twin peak think take series finale one day
426,1,babyupdate sitting holding callum great feeding well gradually lowering drip adjusts
427,0,omg episode hannah montana going make cry
428,0,thanks good know catch want another entity seeing receipt dont time
429,0,look disgusting cloudiness
430,0,time last friday school im sadly english
431,0,even playing chicaog wtf
432,1,world fight way try hold right joke bwahahaha
433,0,stuck cleaning
434,0,omg finished exam chinese paper hard think screwed eng essay http tweet sg
435,0,sad comment made last nite
436,1,forget prompt desire new model sleep hype thought would crash ended getting hour
437,1,moaning part indulgence crew last night
438,1,quot quot really glad life quot quot really come quot quot awesome judge quot take note friend
439,0,fucking white owl
440,1,let rock europe
441,0,omg teach make cute bentos sometime bought bunch stuff never really time
442,0,homework
443,0,stay school myt go later rele bad nose bleed n lost much blood
444,0,town phone need get computer
445,0,sad ed rip ed mcmahon
446,1,oh hi oh look time bye
447,0,woe
448,0,suppose thats price pay higher follower count vision interesting strange life porn star
449,1,fun idea thanks posting
450,1,jumping morning
451,1,turn acting asleep little tricker
452,0,love shrimp actually cook mean shrimp hate holding squshiness
453,0,bed cousin looking forward work
454,1,soo excited phish blow mind see friend stop thinking weekend
455,0,got phone bittiiiiiin
456,0,anyone wanna pick white room bit give ride home
457,1,yup never spent much time web version twitter lol nice see everyone face especially cute boy
458,1,single lady video made laugh cried crazyness got ball though
459,0,oh fgs gone grrrr see dunno one else oh thanks agreeing share ur pizza lol
460,0,never called
461,1,woke sun shining face gonna lovely day
462,1,tackle bramble end garden let battle comense
463,0,oh dear well gusta sky veces
464,1,hmmm fair point need cake form object round run mill cake hence
465,0,get lah haha know guy irritating use brain sometimes miss
466,0,missed call nobody love
467,0,oh dear god incessant car alarm siren something outside going like hour
468,0,editing pull list harder thought like many comic
469,1,finally got sponge curler yeah
470,1,anyone remembers mike dixon original new mix
471,0,ouch trouble sitting thanks biochem anatomy
472,0,knew
473,0,afford damn
474,1,learned lesson never put something oven something else cook without mobile timer
475,1,agggh total l v e latest tarte post http tartecosmetics blogspot com love comment red lipped kiss
476,0,hope mean going suffer surgical spirit get well soon
477,0,noo missed screening damn campaign project work taking priority
478,1,wonder taste
479,1,ha yes amazing form tmi come
480,0,awake swollen face stuffy head breathless get comfortable teh lurgy
481,0,call week suck got called work pm get home til midnight get amp
482,1,ever thought designing line
483,1,hey wanted say keep amazing work supporting team amp fan
484,0,omg twitter think complicated little brain lol talk people aaaaah fooked yoh
485,1,tweetie iphone tweetie laptop go tweetie everywhere
486,1,welcome twitter good see still alive kicking
487,0,goodbye sorry
488,0,guess already happened never gave away tix
489,0,going bed final tomorrow
490,1,got real lazy amp stopped cleaning laying texting bfff
491,0,dont want kick wit today lol
492,1,need guide winmo
493,1,yayy guy sony award small dance
494,0,damn really pulling gordon get win today ugh fan stewart oh well always next week
495,1,lmfao ive yet see shirt sum nicely getting sick seeing w talent back pic
496,1,diggin new twitter pic buddy great shot artsy etc
497,1,dumb work yay school
498,1,bought quot thing learned architecture school quot brilliant book glad got
499,0,learning tomorrow
